from_symbol,to_symbol
Plcb1,Plcd3
Plcb1,Plce1
Plcb1,Pik3ca
Plcb1,Pik3cd
Plcb1,Pik3cg
Plcb1,Pik3cb
Plcb1,Pikfyve
Plcb1,Cdipt
Plcb1,Pik3c2a
Plcb1,Pik3c2g
Plcb1,Pik3c2b
Plcb1,Dgkz
Plcb1,Dgkg
Plcb1,Dgkq
Plcb1,Dgka
Plcb1,Dgkb
Plcb1,Dgkd
Plcb1,Dgki
Plcb1,Dgkk
Plcb1,Dgkh
Plcb1,Dgke
Plcb1,Egfr
Plcb1,Prkca
Plcb1,Prkcb
Plcb1,Prkcg
Plcb1,Pik3r1
Plcb1,Pik3r2
Plcb1,Pik3r3
Plcb1,Ppp3ca
Plcb1,Ppp3cb
Plcb1,Ppp3cc
Plcb1,Ppp3r1
Plcb1,Ppp3r2
Plcb1,Calm1
Plcb1,Calm2
Plcb1,Calm3
Plcb1,Calm5
Plcb1,Calml3
Plcb1,Calml4
Plcb1,Calm4
Plcb1,Camk2d
Plcb1,Camk2a
Plcb1,Camk2b
Plcb1,Camk2g
Plcb1,Prkce
Plcb1,Prkcd
Plcb1,Pi4kb
Plcb1,Pi4ka
Plcb1,Pi4k2b
Plcb1,Pi4k2a
Plcb1,Impad1
Plcb1,Itpr1
Plcb1,Itpr2
Plcb1,Itpr3
Plcb1,Kcnk3
Plcb1,Kcnk9
Plcb2,Minpp1
Plcb2,Pip4k2b
Plcb2,Pip4k2c
Plcb2,Pip4k2a
Plcb2,Synj1
Plcb2,Inpp5b
Plcb2,Synj2
Plcb2,Ocrl
Plcb2,Inpp5e
Plcb2,Ipmk
Plcb2,Pten
Plcb2,Inpp5j
Plcb2,Inpp5k
Plcb2,Inpp5a
Plcb2,Itpka
Plcb2,Itpkc
Plcb2,Itpkb
Plcb2,Mtm1
Plcb2,Impa2
Plcb2,Impa1
Plcb2,Pip5k1c
Plcb2,Pip5k1b
Plcb2,Pip5k1a
Plcb2,Pip5kl1
Plcb2,Pik3c3
Plcb2,Mtmr4
Plcb2,Mtmr6
Plcb2,Mtmr1
Plcb2,Mtmr7
Plcb2,Mtmr3
Plcb2,Mtmr2
Plcb2,Mtmr14
Plcb2,Plcz1
Plcb2,Plcb1
Plcb2,Plcb2
Plcb2,Plcb3
Plcb2,Plcb4
Plcb2,Plcd1
Plcb2,Plcd4
Plcb2,Plcg1
Plcb2,Plcg2
Plcb2,Plcd3
Plcb2,Plce1
Plcb2,Pik3ca
Plcb2,Pik3cd
Plcb2,Pik3cg
Plcb2,Pik3cb
Plcb2,Pikfyve
Plcb2,Cdipt
Plcb2,Pik3c2a
Plcb2,Pik3c2g
Plcb2,Pik3c2b
Plcb2,Dgkz
Plcb2,Dgkg
Plcb2,Dgkq
Plcb2,Dgka
Plcb2,Dgkb
Plcb2,Dgkd
Plcb2,Dgki
Plcb2,Dgkk
Plcb2,Dgkh
Plcb2,Dgke
Plcb2,Egfr
Plcb2,Prkca
Plcb2,Prkcb
Plcb2,Prkcg
Plcb2,Pik3r1
Plcb2,Pik3r2
Plcb2,Pik3r3
Plcb2,Ppp3ca
Plcb2,Ppp3cb
Plcb2,Ppp3cc
Plcb2,Ppp3r1
Plcb2,Ppp3r2
Plcb2,Calm1
Plcb2,Calm2
Plcb2,Calm3
Plcb2,Calm5
Plcb2,Calml3
Plcb2,Calml4
Plcb2,Calm4
Plcb2,Camk2d
Plcb2,Camk2a
Plcb2,Camk2b
Plcb2,Camk2g
Plcb2,Prkce
Plcb2,Prkcd
Plcb2,Pi4kb
Plcb2,Pi4ka
Plcb2,Pi4k2b
Plcb2,Pi4k2a
Plcb2,Impad1
Plcb2,Itpr1
Plcb2,Itpr2
Plcb2,Itpr3
Plcb2,Kcnk3
Plcb2,Kcnk9
Plcb3,Minpp1
Plcb3,Pip4k2b
Plcb3,Pip4k2c
Plcb3,Pip4k2a
Plcb3,Synj1
Plcb3,Inpp5b
Plcb3,Synj2
Plcb3,Ocrl
Plcb3,Inpp5e
Plcb3,Ipmk
Plcb3,Pten
Plcb3,Inpp5j
Plcb3,Inpp5k
Plcb3,Inpp5a
Plcb3,Itpka
Plcb3,Itpkc
Plcb3,Itpkb
Plcb3,Mtm1
Plcb3,Impa2
Plcb3,Impa1
Plcb3,Pip5k1c
Plcb3,Pip5k1b
Plcb3,Pip5k1a
Plcb3,Pip5kl1
Plcb3,Pik3c3
Plcb3,Mtmr4
Plcb3,Mtmr6
Plcb3,Mtmr1
Plcb3,Mtmr7
Plcb3,Mtmr3
Plcb3,Mtmr2
Plcb3,Mtmr14
Plcb3,Plcz1
Plcb3,Plcb1
Plcb3,Plcb2
Plcb3,Plcb3
Plcb3,Plcb4
Plcb3,Plcd1
Plcb3,Plcd4
Plcb3,Plcg1
Plcb3,Plcg2
Plcb3,Plcd3
