"","gene_short_name","status","term","estimate","std_err","test_val","p_value","q_value"
"1076","AKAP13","OK","groupNormal",0.4547142,0.1533219,2.9657,0.00315,1
"1077","HAPLN3","OK","groupNormal",-0.5549085,0.2645079,-2.0979,0.0364,1
"1078","IGF1R","OK","groupNormal",1.238403,0.5395301,2.2953,0.0221,1
"1079","SYNM","OK","groupNormal",-0.5330848,0.214351,-2.487,0.0132,1
"1080","LYSMD4","OK","groupNormal",-2.522797,1.063384,-2.3724,0.018,1
"1081","WASH4P","OK","groupNormal",0.7668474,0.3049932,2.5143,0.0122,1
"1082","MRPL28","OK","groupNormal",-0.5768874,0.2748154,-2.0992,0.0362,1
"1083","TMEM204","OK","groupNormal",-0.4439486,0.1074568,-4.1314,4.15e-05,1
"1084","RPS2","OK","groupNormal",0.1890409,0.060037,3.1487,0.00173,1
"1085","SLC9A3R2","OK","groupNormal",-0.1933573,0.058275,-3.318,0.000965,1
"1086","SRRM2","OK","groupNormal",-0.1609783,0.080723,-1.9942,0.0466,1
"1087","TNFRSF12A","OK","groupNormal",1.75039,0.7092579,2.4679,0.0139,1
"1088","ZNF200","OK","groupNormal",2.025802,0.8307779,2.4384,0.0151,1
"1089","ZNF263","OK","groupNormal",0.92719,0.4471313,2.0736,0.0386,1
"1090","TIGD7","OK","groupNormal",-1.6755,0.8356514,-2.005,0.0454,1
"1091","ANKS3","OK","groupNormal",-1.350077,0.6079692,-2.2206,0.0268,1
"1092","ROGDI","OK","groupNormal",-1.164674,0.5740112,-2.029,0.0429,1
"1093","NAGPA","OK","groupNormal",1.774488,0.8917313,1.9899,0.0471,1
"1094","FAM86A","OK","groupNormal",-2.043224,0.7009016,-2.9151,0.0037,1
"1095","ABAT","OK","groupNormal",-1.82965,0.7732311,-2.3662,0.0183,1
"1096","CARHSP1","OK","groupNormal",0.2050162,0.1033971,1.9828,0.0479,1
"1097","RP11.27M24.3","OK","groupNormal",-1.03642,0.4052738,-2.5573,0.0108,1
"1098","RP11.27M24.1","OK","groupNormal",1.725698,0.8616373,2.0028,0.0457,1
"1099","SNN","OK","groupNormal",1.294915,0.5575242,2.3226,0.0206,1
"1100","RPS15A","OK","groupNormal",0.1210791,0.0616085,1.9653,0.0499,1
"1101","TMEM159","OK","groupNormal",-1.01872,0.4411509,-2.3092,0.0213,1
"1102","NPIPB5","OK","groupNormal",-0.5768874,0.2011531,-2.8679,0.00429,1
"1103","TAOK2","OK","groupNormal",0.4806634,0.1970425,2.4394,0.015,1
"1104","ALDOA","OK","groupNormal",0.2500752,0.0915533,2.7315,0.0065,1
"1105","C16orf98","OK","groupNormal",-0.9446122,0.4676597,-2.0199,0.0439,1
"1106","LONP2","OK","groupNormal",-0.658233,0.2162905,-3.0433,0.00245,1
"1107","BRD7","OK","groupNormal",-0.5280972,0.1794915,-2.9422,0.00339,1
