"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"22506","Gm15093","0","0","0","0"
"22507","Gm15114","0","0","0","0"
"22508","Gm15127","0","0","0","0"
"22509","Luzp4","0","0","0","0"
"22510","Ott","0","0","0","0"
"22511","Gm15085","0","0","0","0"
"22512","Gm15093","0","0","0","0"
"22513","Ott","0","0","0","0"
"22514","Gm15085","0","0","0","0"
"22515","Gm15093","0","0","0","0"
"22516","Gm10439","0","0","0","0"
"22517","Gm15097","0","0","0","0"
"22518","Gm15091","0","0","0","0"
"22519","Gm15104","0","4","0","0"
"22520","Tmem29","65","40","39","55"
"22521","Alas2","9","12","5","8"
"22522","Apex2","132","174","63","209"
"22523","Pfkfb1","14","33","39","71"
"22524","Tro","0","0","0","0"
"22525","Maged2","85","58","126","219"
"22526","Gnl3l","594","556","565","773"
"22527","Fgd1","33","41","46","29"
"22528","Tsr2","215","300","265","327"
"22529","A230072E10Rik","6","18","2","16"
"22530","Fam120c","132","187","161","418"
"22531","Phf8","910","1146","715","1523"
"22532","Huwe1","6208","7407","5842","10606"
"22533","Mirlet7f-2","0","0","0","0"
