"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000033450.8","Tagap",1029.914,1195.801,734.248,3879.206,5859.442,1563.07,-1.06686291552432,1.51743985761701,0.556275681529317,1
"ENSMUSG00000033453.8","Adamts15",22,4,0,5,0,0,1.64092324068659,0.533370031183542,0.556326291652339,1
"ENSMUSG00000033454.6","Zbtb1",186,425,164,884,1558,349,0.702321650328997,2.1753779624087,0.556402333682169,1
"ENSMUSG00000033458.17","Fan1",30,51,7,95,192,55,0.158309433987586,5.8168522057294,0.556438685319652,1
"ENSMUSG00000033467.12","Crlf2",139,142,55,310,575.001,159,-2.10512870843952,-0.638016110715899,0.556497765044928,1
"ENSMUSG00000033475.15","Tomm6",52.281,75,44,99,316.136,71,-0.230592798213017,4.45812303730408,0.556528314646162,1
"ENSMUSG00000033478.5","Fam160b1",152,208,70,376,1168,287,-0.438462329451918,2.98700329149318,0.556532671705655,1
"ENSMUSG00000033486.14","Catsper2",0,9,0,1,46,8,1.30131700968058,0.882649496912326,0.556541942517395,1
"ENSMUSG00000033487.14","Fndc3a",222,501.001,248,1270.999,2148.001,412,-1.7260831791864,0.465021296222146,0.556545260751767,1
"ENSMUSG00000033488.11","Cryzl2",29,45,41,210,345,42,0.347963176252395,3.94521633509175,0.556581536107645,1
"ENSMUSG00000033491.13","Prss35",0,1,2,0,0,0,-0.762167229215094,2.06780594503946,0.556609664129327,1
"ENSMUSG00000033498.14","Strc",1,0,9,0,0,0,-0.13426902375043,6.38010199274679,0.55665192332942,1
"ENSMUSG00000033499.14","Larp4b",345,471,220,1397,2627.999,462,0.165716346070574,5.54287907256928,0.556695874549537,1
"ENSMUSG00000033501.5","Crygs",6,4,0,0,0,9,0.132726088359097,8.89236940584312,0.55669889092212,1
"ENSMUSG00000033502.15","Cdc14a",69,115,52,230,403,93,-1.00044652772046,1.77793066860472,0.55674275092603,1
"ENSMUSG00000033508.7","Asprv1",0,2,1,0,1,14,-1.29706598419131,0.959550401234024,0.556878064138176,1
"ENSMUSG00000033520.2","Idi2",0,2,1,0,23,0,0.167097274282447,5.99818445329151,0.557071267149752,1
"ENSMUSG00000033526.16","Ppip5k1",137,191.001,87,343,795,158,-1.88575648655308,-0.650321715490456,0.557120574959411,1
"ENSMUSG00000033530.8","Ttc7b",41,114,57,203,423,109,0.135325631773574,7.8312223493601,0.557177374637222,1
"ENSMUSG00000033538.13","Casp4",88,411.001,194,399,1367.001,85,-1.57809667088112,0.685318889269389,0.557276433060807,1
"ENSMUSG00000033540.18","Idua",148,186,101,506,983,167,1.02959507788715,7.97058071083181,0.557338832653095,1
"ENSMUSG00000033542.13","Arhgef5",2,16,17,8,24,27,0.171623307814017,5.56352658307486,0.557392690654383,1
"ENSMUSG00000033543.17","Gtf2a2",42,65,33,88,211.998,58,-0.155709159867366,6.84656700148147,0.557428366465323,1
"ENSMUSG00000033544.6","Angptl1",4,4,14,17,12,9,1.63897656633488,0.490785621107095,0.557428856130994,1
