"","geneid_symbol","CTX_14A2","CTX_14A4","CTX_14A5","CTX_14L1","CTX_14L2","CTX_14L3","CTX_3A2","CTX_3A3","CTX_3A4","CTX_3L2","CTX_3L3","CTX_Naive1","CTX_Naive2","CTX_Naive3"
"ENSMUSG00000003316.14","Glg1",59.012048,35.72663,42.206276,51.659065,45.787969,41.280288,41.188166,49.299771,58.42252,47.803606,46.941684,65.246781,59.586564,41.31601
"ENSMUSG00000003341.9","Atp8b3",0,0.226546,0.163625,0,0.376877,0,0.051315,0,0.58195,0,0.948186,0,0,0
"ENSMUSG00000003344.14","Btbd2",43.353445,45.126747,37.979783,38.838715,34.188853,47.17572,33.226429,37.346107,40.698128,37.083872,32.182218,38.985125,44.872937,31.128061
"ENSMUSG00000003345.16","Csnk1g2",128.787904,100.336982,96.874202,138.831211,80.747173,81.720978,59.894965,76.31608,102.743214,80.769857,85.93145,93.561685,144.747606,119.158796
"ENSMUSG00000003346.14","Abhd17a",68.555134,45.903199,44.187427,53.355198,53.072776,47.252607,42.787122,47.445138,45.340847,43.287592,47.124651,46.219964,50.379681,44.111594
"ENSMUSG00000003348.10","Mob3a",68.245128,68.301327,71.357012,61.226768,57.557312,66.184358,78.817035,89.596818,81.433856,72.754228,60.99769,74.903799,67.362614,51.669818
"ENSMUSG00000003352.14","Cacnb3",0.833631,0.537411,1.984288,4.295229,0.596907,0.714044,0,0.205054,0,0.462141,0.813971,0.219356,0.441007,0.387988
"ENSMUSG00000003354.6","Ccdc65",0.111135,0.239482,0.693531,0,0,0.262559,0,0,0.213287,0,0,0,0,0
"ENSMUSG00000003355.7","Fkbp11",1.751721,0.480203,0.782801,1.451902,0,1.414375,0.451172,0.84576,0.416844,1.03272,1.358669,4.022951,0,0
"ENSMUSG00000003360.15","Ddx23",114.506084,62.71709,90.492499,88.97685,56.709275,72.915544,51.381846,73.735871,62.361919,68.343105,73.30495,93.021264,136.884396,73.988529
"ENSMUSG00000003363.15","Pld3",181.268245,125.78911,131.956494,230.396766,168.433024,177.859333,133.234637,136.508121,164.787335,165.063703,146.275844,156.072867,181.160272,109.21628
"ENSMUSG00000003378.9","Grik5",2.707027,3.070305,3.557488,3.138573,2.344047,3.781654,2.705925,3.864693,1.429318,3.519628,0.799527,1.730756,4.489615,3.21978
"ENSMUSG00000003379.7","Cd79a",0,2.799585,0.700862,0,1.070539,2.824108,0,0.368354,1.007403,0.276317,0,0.879624,1.613662,3.475639
"ENSMUSG00000003380.11","Rabac1",361.975701,190.16621,251.119434,374.782354,168.350672,208.17933,275.017974,232.106154,293.86116,272.330458,242.149769,253.456789,359.702002,210.034934
"ENSMUSG00000003382.18","Etv3",64.027353,98.904652,74.915393,54.923363,100.332869,73.662186,68.410607,73.315291,79.692836,82.97666,58.21122,81.211732,64.469575,84.511396
"ENSMUSG00000003402.14","Prkcsh",107.588657,74.830634,75.434365,87.933196,55.589348,59.359386,58.737421,59.030799,77.735345,65.182942,70.285497,73.012671,100.76171,80.566317
"ENSMUSG00000003410.8","Elavl3",0.03972,2.053396,2.348543,0.319965,0.764438,3.949847,0.482936,0.164915,0.354988,0.330005,0.214201,0.115758,0,0
"ENSMUSG00000003411.10","Rab3b",0.060932,0.043547,4.725978,0,0,0.431511,0.24265,0.149736,0.406985,0,0,0,0,0.850723
"ENSMUSG00000003418.11","St8sia6",1.808569,1.32484,2.764114,2.577095,5.635284,1.95059,2.547292,3.01136,1.6944,4.48331,3.020907,4.737409,3.35594,2.645102
"ENSMUSG00000003420.8","Fcgrt",105.629197,71.836397,66.989444,128.432648,84.231918,86.77574,86.22845,104.050209,100.512121,106.980461,104.864377,103.351935,119.142914,73.147169
"ENSMUSG00000003421.13","Nosip",72.119234,48.667722,46.341565,78.139482,72.94952,54.799044,43.865693,60.223689,49.455622,62.676744,55.753963,45.974861,67.709023,57.514173
"ENSMUSG00000003423.15","Pih1d1",72.533318,45.600844,62.43335,79.154143,61.74732,97.763675,61.05569,48.102596,65.111711,56.763374,50.646034,48.462831,69.501152,60.502837
"ENSMUSG00000003429.11","Rps11",887.620088,777.868231,808.962689,776.537304,676.494406,665.862443,655.553641,684.335968,647.804688,714.921409,781.285101,704.936854,734.195544,825.379195
"ENSMUSG00000003435.9","Supt5",92.663181,86.384513,87.26446,77.415773,75.619875,71.950073,66.35678,72.00733,88.215537,82.222133,69.710342,85.969721,86.620463,73.954114
"ENSMUSG00000003436.11","Dll3",0,0.393741,0.983344,0.456834,0,0,0.088648,0,0.225343,0,0.497735,0,0,0
"ENSMUSG00000003437.14","Paf1",96.708396,131.698755,101.361347,63.700766,124.692748,119.250422,87.067601,103.938915,111.076689,113.190151,80.754133,93.606303,82.690465,110.238899
"ENSMUSG00000003438.17","Timm50",34.53027,23.901797,22.792551,43.358152,31.651909,25.317927,24.642194,29.326866,35.550286,27.466667,27.090668,38.186123,48.251917,23.281484
"ENSMUSG00000003444.8","Med29",22.309957,27.000352,14.63568,24.151504,34.730102,20.858652,19.557742,17.721918,17.380415,21.451112,19.766385,28.079034,25.423369,14.491788
"ENSMUSG00000003452.15","Bicd1",0.049597,0.255364,1.919222,0,0.267957,1.228805,0.11982,1.512946,0.976436,0.044244,0.101128,0.308134,0.097116,1.396962
"ENSMUSG00000003458.12","Ncstn",123.403311,112.514531,108.18411,159.457846,114.525248,119.241854,116.365192,146.735153,152.046173,139.444764,112.385905,125.826654,177.415006,78.023777
"ENSMUSG00000003464.13","Pex19",45.196156,32.454091,40.126236,50.755741,44.037403,28.560479,29.244632,30.102471,41.359329,31.304326,43.079793,31.283254,36.105584,23.976187
"ENSMUSG00000003469.9","Phyhip",1.976372,1.03161,0.560763,0.083691,0.516095,0.340422,0.081387,0.44311,0.344376,0.066594,0.258768,0.843009,0.760048,2.013117
"ENSMUSG00000003476.16","Crhr2",0.456912,1.235527,0.43454,0,0,2.303415,0.231456,0,2.045746,0.447009,0,0,0.134015,6.516707
"ENSMUSG00000003477.5","Inmt",0,0,0.665604,0,0,0,0,0,1.000087,0,0,0,1.946153,0
"ENSMUSG00000003484.4","Cyp4f18",0.12548,0.992876,4.50724,1.625929,0,0,0.141041,0.773017,1.00571,0.411761,5.523285,1.10615,0,0
"ENSMUSG00000003500.13","Impdh1",4.544784,4.963137,4.227056,10.833472,4.859568,4.945729,5.232622,3.822435,9.970315,6.859094,1.825854,2.101258,3.005921,9.768909
"ENSMUSG00000003505.15","Psg18",0,0,0.186053,0,0,2.119438,0,0,0.801314,0,0,0,0,1.516733
