"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000073573.6","Spink11",8,1,0,7,0,1,0.0731937823080037,3.75658829245761,0.934079168435413,1
"ENSMUSG00000073591.4","Pcdhb22",20,11,1,23,5,13,-0.0543256837368942,2.66974100335567,0.934096478224724,1
"ENSMUSG00000073599.10","Ecscr",258,263,182,287,30,257,-0.0240489809323173,4.58459137943718,0.934241403293575,1
"ENSMUSG00000073600.5","Prob1",24,7,5,26,0,16,-0.0263829270578615,4.58120604249058,0.934287292815561,1
"ENSMUSG00000073602.10","Serpinb3b",0,1,0,6,0,2,-0.0233144995490512,6.08829407915843,0.934402942734488,1
"ENSMUSG00000073608.4","Gal3st2c",0,12,2,38,0,12,-0.0317887864339605,2.79753075761471,0.934481298447483,1
"ENSMUSG00000073609.9","D2hgdh",78,104,46,118,12,79.839,0.264091377313765,1.01703552347176,0.934550134046022,1
"ENSMUSG00000073616.10","Cops9",17,54,20,96,6,42,-0.0244870710142633,4.56510952326895,0.934734900759845,1
"ENSMUSG00000073633.9","Fbxo36",0,4,0,12,0,13,-0.0553835558779839,3.79636838849683,0.934741474449905,1
"ENSMUSG00000073639.6","Rab18",156,231,75,290,28,144,-0.025363925795313,5.54013151794806,0.934874652544479,1
"ENSMUSG00000073643.11","Wdfy1",284,187,123,245,37,144,0.0139835487431582,6.50204005509475,0.934966004161644,1
"ENSMUSG00000073650.8","Catip",0,5,0,19,1,8,-0.025535006362268,9.57340547184657,0.93504299253115,1
"ENSMUSG00000073664.11","Nbeal1",138,270,87,266,33,140,0.0280496300076655,7.9155961994082,0.935087278402696,1
"ENSMUSG00000073676.4","Hspe1",66,118,39,177,3,94,0.253359133859037,2.77456439367016,0.935160937077806,1
"ENSMUSG00000073678.4","Pgap1",14,48,45,75,10,50,-0.0500870097736321,5.54965651054691,0.935180543540477,1
"ENSMUSG00000073680.2","Tmem88b",6,1,0,5,0,3,0.0266579415577901,7.58672605279626,0.935297715757496,1
"ENSMUSG00000073684.13","Faap20",15,38,32,56,0,32,0.0769523325664844,4.61979902438477,0.935336096217512,1
"ENSMUSG00000073700.3","Klhl21",42,136,39,171,21,75,0.0180081835384684,4.6405655622542,0.935351232122749,1
"ENSMUSG00000073702.11","Rpl31",190.15,457.976,317.974,593.872,58.001,396.96,0.255776424120431,2.77200321647219,0.935480871809906,1
"ENSMUSG00000073705.10","Cenps",0,1,4,9,0,3,-0.000414729087232115,5.55956201735907,0.935547414503201,1
"ENSMUSG00000073721.5","Pramef20",0,0,0,9,0,2,-0.157076240867332,2.54290925165444,0.935578972354804,1
"ENSMUSG00000073722.3","4931408C20Rik",7,6,2,3,0,5,0.0256373999995998,6.68245935691961,0.935580103484862,1
"ENSMUSG00000073724.12","Pramel4",0,5,0,3.384,2,13,0.143907642046326,2.60570040900195,0.935647516774725,1
"ENSMUSG00000073725.8","Lmbrd1",142.999,267.001,66,260,21.999,158.001,0.00260362765210647,4.62731058237266,0.935977725460085,1
"ENSMUSG00000073733.4","Cplane2",0,0,0,8,0,2,0.398807375913119,1.51197164034233,0.93610955687779,1
"ENSMUSG00000073747.2","Zpld2",14,3,0,0,0,6,0.0345052589665834,2.42926887610905,0.936142983506981,1
"ENSMUSG00000073755.4","5730409E04Rik",14,44,26,93,1,27,0.0977931999511047,4.66291136979841,0.936163135566584,1
"ENSMUSG00000073758.10","Sh3d21",6,29,37,48,0,16,-0.0333954026823076,6.13543592697577,0.936172368063865,1
"ENSMUSG00000073768.3","Olfr1330",14,1,10,23,0,2,0.0222579545830798,4.68222977930803,0.936217135718135,1
"ENSMUSG00000073769.4","Olfr1331",6,3,0,15,0,9,-0.00689047227875226,2.86181438511503,0.936279713293963,1
"ENSMUSG00000073771.11","Btbd19",167,298,275,246.001,24,170,0.0690660345303729,2.50429916842209,0.93629618740456,1
"ENSMUSG00000073774.2","Kncn",12,27,18,41,1,3,0.314330963204921,1.49884116025814,0.936320101023631,1
"ENSMUSG00000073775.4","Kti12",38,36,23,52,3,20,0.084848429802845,4.6700881301515,0.936327850615253,1
"ENSMUSG00000073791.12","Efcab7",6,3,0,2,0,4,-0.0879878871106187,1.495934167411,0.93641978283251,1
"ENSMUSG00000073792.11","Alg6",21,31.001,15,49.001,10,17,-0.13498844657697,1.4935589367158,0.936423274417558,1
"ENSMUSG00000073794.3","I0C0044D17Rik",0,3,0,4,0,5,-0.0213972336360353,5.5862911364933,0.93644716329082,1
"ENSMUSG00000073795.11","Spef1l",0,4,6,0,0,0,-0.0728078112013372,3.87543227023013,0.936467030793546,1
"ENSMUSG00000073802.5","Cdkn2b",6,0,0,5,0,5,-0.0366303660391333,5.20638069847404,0.936510757870987,1
"ENSMUSG00000073804.5","Nps",0,1,6,2,0,2,-0.0267543950955266,6.35599512411347,0.936551009045099,1
"ENSMUSG00000073805.5","Insyn2a",7,9,5,7,1,4,-0.183130640308097,1.48268300548373,0.936576900544711,1
"ENSMUSG00000073811.4","Ifna12",4,1,0,10,0,2,-0.17082388101654,2.63666318772932,0.936632150613654,1
"ENSMUSG00000073834.10","Mup11",0,0,0,6,0,3,-0.0815207652590141,1.48055731107413,0.936658735887164,1
"ENSMUSG00000073838.10","Tufm",74,109.957,66.268,156.499,8,70,-0.0677288508695175,1.4814922419032,0.93666116407349,1
"ENSMUSG00000073856.11","Iqck",7,17,15,24,5,12,-0.145414734414913,1.47612392249668,0.93667279403497,1
"ENSMUSG00000073876.3","Gm13305",9,4.07,13,9.69,0,12.763,-0.120164347402456,1.47615530647795,0.936711874764507,1
"ENSMUSG00000073888.13","Ccl27a",31,5,10,6,0,8,0.356250757161586,1.46864637872626,0.936752933164558,1
"ENSMUSG00000073889.10","Il11ra1",99,119.931,51,133.31,9,69.238,0.0080174490269356,6.15605828086436,0.936764954479566,1
"ENSMUSG00000073893.6","Olfr472",0,4,0,20,0,2,0.0160915444421051,6.84555418952936,0.936765952610485,1
"ENSMUSG00000073896.5","Olfr716",6,10,0,11,0,9,0.0217297842543208,5.91840054994143,0.936769906117683,1
"ENSMUSG00000073897.5","Olfr17",0,1,0,17,0,2,0.125692019099569,2.77269946650462,0.936789878943768,1
"ENSMUSG00000073898.3","Olfr713",2,2,4,7,0,6,-0.0351916610877942,7.62762488374604,0.93680392806783,1
"ENSMUSG00000073899.3","Olfr1532-ps1",0,0.5,0,13.766,0,1.258,-0.0174331810309003,2.90192591684806,0.936811152634052,1
"ENSMUSG00000073900.5","Olfr704",0,1,3,12,0,5,0.425474077902158,1.46821629160106,0.936820046906043,1
"ENSMUSG00000073907.3","Olfr689",0,13,6,8,0,13,0.0539529121635557,5.21896084651542,0.9368425009677,1
"ENSMUSG00000073910.10","Mob3b",31,5,23,20,1,7,0.0154503558372499,2.83549178983635,0.936883305317389,1
"ENSMUSG00000073917.2","Olfr665",0,3,0,8,0,3,0.305063118401189,1.4565136954664,0.936890785126359,1
"ENSMUSG00000073920.4","Olfr661",8,1,0,0,0,4,-0.027551139700695,3.9211581500127,0.936909464493107,1
"ENSMUSG00000073922.2","Olfr659",4,7,6,13,0,6,-0.0739524827972004,1.45957150103963,0.936948386163992,1
