"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000025404.15","R3hdm2",239,385.999,269.001,559.999,70.001,269,0.313990136324393,11.0913835696549,0.294341089022143,1
"ENSMUSG00000025405.9","Inhbc",9,2,0,5,0,0,1.69501961632159,1.58808875454611,0.29479768075749,1
"ENSMUSG00000025407.7","Gli1",11,1,0,0,0,3,0.314641497274724,7.89004040203101,0.294849260537614,1
"ENSMUSG00000025408.15","Ddit3",97,455,251,545,57,327,0.966643351156133,2.96778420251485,0.294861919180568,1
"ENSMUSG00000025409.14","Mbd6",566,651.999,346,712,73.999,443.001,-0.764275288594352,3.59136843149839,0.294884535353387,1
"ENSMUSG00000025410.10","Dctn2",279,287,196,367,48,212,-0.474561170960861,4.37045782580828,0.295004952002061,1
"ENSMUSG00000025413.13","Ttc4",54,88.001,19,69,10,53,-1.96268342431606,1.15867079320098,0.2950283274624,1
"ENSMUSG00000025417.8","Pip4k2c",106,145,60,187,29,94,-0.324808806066605,6.7434051106427,0.295068112011135,1
"ENSMUSG00000025418.7","Bsnd",2,0,0,4,0,1,-0.350312711559699,6.31110723640179,0.295074837186344,1
"ENSMUSG00000025420.13","Katnal2",0,2,0,6,0,7,0.481229776736681,4.93691573123373,0.295159477211897,1
"ENSMUSG00000025421.15","Hdhd2",30,78,47,84,6,78,1.9812748585676,1.56600899204977,0.2952615147538,1
"ENSMUSG00000025422.10","Agap2",120,87,56,159,10,85,1.23393152236236,2.73602798283641,0.295265626899452,1
"ENSMUSG00000025423.16","Pias2",125,168,142,181.001,24,103,-0.38840731770613,5.60403719405214,0.295305698374847,1
"ENSMUSG00000025425.18","St8sia5",17,3,0,5,0,0,-0.321259751787653,7.25046431153298,0.295370212836716,1
"ENSMUSG00000025427.15","Rnf165",0,0,0,28,0,4,0.521270932186569,4.80268739579562,0.295400098067651,1
"ENSMUSG00000025428.15","Atp5a1",553.999,948,485,1126,72,615,-0.595937817647865,3.99523991455248,0.295404790858571,1
"ENSMUSG00000025429.9","Pstpip2",0,13,24,48,5,10,-0.323447763261118,7.11709543919957,0.295853480215607,1
"ENSMUSG00000025432.11","Avil",0,11,4,7,0,2,0.631632029351603,4.10547634305074,0.296062059651126,1
"ENSMUSG00000025436.12","Atp23",0,11,6,35.999,2,14,0.37266401744947,5.63491262316138,0.296065085421408,1
"ENSMUSG00000025437.15","Usp33",209,242.001,119,362,26,181,-1.96882349106805,1.10813862188961,0.296224810711995,1
"ENSMUSG00000025439.5","Clns1a",93,92,37,135,10,81,-0.768630082357257,3.58428960566704,0.296266333589785,1
"ENSMUSG00000025451.15","Paip1",176.999,167,135,178,34,128,-1.93048951967305,1.35219312170941,0.296267840000162,1
"ENSMUSG00000025453.18","Nnt",210,65.336,1.546,50.949,30,185,-0.314914206719206,8.46175958519734,0.296621296895218,1
"ENSMUSG00000025461.11","Cd163l1",0,3,0,11,0,1,1.38224426046983,2.42667076192308,0.29665509019993,1
"ENSMUSG00000025464.15","Paox",81,67.202,69.965,52.235,9,52.416,-0.315918791257761,8.05745285086188,0.29686679729057,1
"ENSMUSG00000025465.13","Echs1",107,98,98,110,13,69,-1.37045580082455,1.92710272145453,0.296914000800863,1
"ENSMUSG00000025466.19","Fuom",5,6,0,6,0,3,0.818209605107159,3.34442228323757,0.297245458177998,1
"ENSMUSG00000025468.15","Caly",0,0,0,2,0,3,-0.406603819972704,5.58915996627418,0.29733068402547,1
"ENSMUSG00000025469.10","Msx3",0,0,0,31,0,5,-0.371604412464766,5.6891150312744,0.29737471454824,1
"ENSMUSG00000025470.11","Zfp511",36,26,12,11,7,25,0.318046187116491,6.8900236807867,0.297412523978598,1
"ENSMUSG00000025473.16","Adam8",5,31,37,200,2,24,-0.321746754626204,6.3616161315054,0.297495884497754,1
"ENSMUSG00000025474.9","Tubgcp2",163,133,60,115.001,13,78,0.363970511782236,5.79211814000689,0.297530869048882,1
"ENSMUSG00000025475.17","Adgra1",0,0,2,5,0,2,1.44660900621052,2.06062306535637,0.29760216417167,1
"ENSMUSG00000025477.14","Inpp5a",29,67,35,88.999,15,56,-1.91323242528924,1.30360733350629,0.297768477541348,1
"ENSMUSG00000025478.15","Dpysl4",0,5,8,0,0,0,-0.315011832491022,7.70404537242471,0.297785854960575,1
"ENSMUSG00000025480.5","Syce1",5,1,0,4,0,1,0.32547033539772,6.64247959653284,0.297839551493699,1
"ENSMUSG00000025482.11","Odf3",12,3,0,0,0,0,0.625872703368768,4.09157683636532,0.297848780038603,1
"ENSMUSG00000025484.9","Bet1l",34,65,74,70,0,45,2.74534137615661,0.35261718685116,0.297871204820447,1
"ENSMUSG00000025485.13","Ric8a",147.001,168,69,139,23,173.999,2.3063022815311,0.909361217698225,0.297892044665609,1
"ENSMUSG00000025486.17","Sirt3",44,48,3,32,4,16,0.662716886256219,3.82952014893068,0.297968945199933,1
"ENSMUSG00000025487.15","Psmd13",111,115.001,101,174,6,54,0.501356609897831,4.81577258326423,0.298052159221404,1
"ENSMUSG00000025492.6","Ifitm3",15,20,5,246,11,40,-0.365702512739594,5.81621571429583,0.298058580289263,1
"ENSMUSG00000025494.8","Sigirr",4,6,0,5,1,3,2.0076700755287,0.273880673871937,0.298068640310431,1
"ENSMUSG00000025495.15","Ptdss2",127,115,70,68,17,66,-1.6629750530619,1.54404658702051,0.298081338485024,1
"ENSMUSG00000025496.5","Drd4",5,2,0,0,0,5,1.57872661974932,1.98909334004536,0.298083947890713,1
"ENSMUSG00000025498.15","Irf7",38.001,36,66,171,13,26.001,1.87887923685717,0.991270381526009,0.298178730645655,1
"ENSMUSG00000025499.18","Hras",37,56,48,56,2,32,1.64082528021174,1.92353924225676,0.298251557398183,1
"ENSMUSG00000025503.5","Taldo1",270,279,148,479,28,235,-0.499578359154763,4.98886653913976,0.298531934047429,1
"ENSMUSG00000025504.14","Eps8l2",0,8,0,18,0,5,1.5438475021067,1.90681425385945,0.298541102892259,1
"ENSMUSG00000025505.16","Tmem80",1,18,11,48,1,10,1.84133261480842,1.72268875236955,0.298577792121641,1
"ENSMUSG00000025507.13","Pidd1",37,38,6,81,0,27,2.77575603178317,0.329496731127302,0.298600722482487,1
"ENSMUSG00000025508.13","Rplp2",364,506.996,355,685.993,68,466.995,-0.340405432240211,5.98329715364465,0.298617739667054,1
"ENSMUSG00000025509.15","Pnpla2",196.999,236.001,132,324,37,119,0.315599780334636,8.20921260114746,0.2986943301618,1
"ENSMUSG00000025510.14","Cd151",90,134,28,116,17,114,0.312695747850331,7.16801011843234,0.298754844213381,1
"ENSMUSG00000025511.15","Tspan4",178,211.001,109,173,3,162,-1.67963593486461,1.52615409500981,0.298909730657239,1
"ENSMUSG00000025512.15","Chid1",96.999,104,50,161,3,101,-0.315795666549595,7.92086268297299,0.298911057033312,1
"ENSMUSG00000025515.15","Muc2",0,1,0,13,0,8,-0.444358076361996,4.96168195577818,0.298951745345302,1
"ENSMUSG00000025519.5","Tktl2",8,2,0,18,0,4,-0.306470179138251,7.43680219980204,0.298988746170167,1
"ENSMUSG00000025521.15","Tmem192",55,34,24,48,5,22,-1.81673722986861,1.29888250798666,0.299020943801838,1
"ENSMUSG00000025525.12","Apool",31,24,33,22,0,19,0.839044049584374,3.45809016260148,0.299104425332389,1
"ENSMUSG00000025527.9","Satl1",0,0,4,2,0,1,-0.703870985728934,3.93867213941563,0.299179209571646,1
"ENSMUSG00000025531.14","Chm",123,128,114,123,17.999,82,0.323106013315024,6.87558789447045,0.29918185951159,1
"ENSMUSG00000025532.13","Crcp",92,44,16,76,6,31,-3.24581688071976,1.37432151852684,0.299192344749636,1
"ENSMUSG00000025533.15","Asl",72.001,85,32,137,4,46,-0.316829039497092,7.45356785373267,0.299230128460301,1
"ENSMUSG00000025534.17","Gusb",632.999,743,545.999,728.001,83,597.001,-1.37468046194302,2.04450733589111,0.299239717036902,1
"ENSMUSG00000025537.12","Phkg1",5,16,8,45,5,19,-1.38202700704379,2.04064163666841,0.299287573730516,1
"ENSMUSG00000025538.15","Sumf2",19,52,59,40,12,32.001,-0.470158544951825,4.92001508704881,0.299430763079774,1
"ENSMUSG00000025544.13","Tm9sf2",428,648,344,618,79,379,0.314574936469743,6.79278843817378,0.299475166595137,1
"ENSMUSG00000025545.10","Clybl",4,10,0,9,0,6,1.14779646411849,2.55618114512027,0.299489486276446,1
"ENSMUSG00000025551.13","Fgf14",1,0,0,6,0,2,-0.567431690756717,4.37497319834667,0.29952407087429,1
"ENSMUSG00000025555.14","Farp1",31,44,20,43,0,8,-1.13287443821809,2.40884226233988,0.299577370919473,1
"ENSMUSG00000025557.10","Slc15a1",0,0,5,17,0,5,-0.965823429609353,2.90673080165557,0.299634211125242,1
"ENSMUSG00000025558.19","Dock9",241.001,339.001,127,293,42,209,-0.343877124318681,5.51183581852142,0.299653293468278,1
"ENSMUSG00000025571.13","Tnrc6c",312,309,174,361.001,34,243.001,0.334984939100622,6.27066088828038,0.299705414526445,1
"ENSMUSG00000025572.17","Tmc6",158,205.999,171,180,7,138,0.861286097819572,3.30175591184666,0.299808291241532,1
"ENSMUSG00000025573.4","6030468B19Rik",15,10,0,25,5,12,-0.948181700121972,3.15487887885496,0.29980885481966,1
"ENSMUSG00000025574.13","Tk1",10,41.001,13,91,5,23,-0.356413923118044,6.34660708738231,0.299887222395083,1
"ENSMUSG00000025575.14","Cant1",371,390,164,425,17,242.999,-0.312521359009683,9.77687092902779,0.30004753887774,1
"ENSMUSG00000025577.7","Cbx2",0,5,0,12,0,5,1.11308295888556,2.64016947428061,0.300187281411874,1
"ENSMUSG00000025578.9","Cbx8",39,12,7,44,8,18,1.53597702071941,1.9065497651575,0.30033016962277,1
"ENSMUSG00000025579.14","Gaa",433,539,293,533,47,324,0.314173219488797,7.71281367782689,0.300550102860095,1
"ENSMUSG00000025580.15","Eif4a3",200,250.999,117,392,21,199,1.0764925778229,2.71131380751182,0.300567316683368,1
"ENSMUSG00000025582.4","Nptx1",9,3,6,4,0,6,1.7214418194035,1.64542921502386,0.300711598872003,1
"ENSMUSG00000025583.15","Rptor",805,993,534,865,89.999,673,0.440476931762038,5.04439140888915,0.300748791102469,1
"ENSMUSG00000025584.17","Pde8a",8,26,8,72,0,17,-2.64526269885584,0.456114666595237,0.300762027979178,1
"ENSMUSG00000025586.17","Cpeb1",4,7,0,16,0,1,-0.310281981472814,7.4289915451212,0.3008611939273,1
"ENSMUSG00000025588.4","Nat1",0,3,5,8,0,1,-1.21520771564809,2.26385638372801,0.30091394668652,1
"ENSMUSG00000025591.6","Tma16",29,40,0,65,2,18,-0.352019009332142,6.13378591331999,0.300937243985256,1
"ENSMUSG00000025592.17","Dach2",0,1,0,0,2,4,0.504224583498051,4.51619090158953,0.300989114150914,1
"ENSMUSG00000025597.13","Klhl4",0,0,0,5,2,1,0.322868298848579,6.83359265479383,0.301064343798862,1
"ENSMUSG00000025602.13","Zfp202",45,44,32,32,4,25,-0.529390337853986,4.67802231532176,0.301070926925792,1
"ENSMUSG00000025607.15","Copg2",176,222,53,182,16,129,-0.375785195478937,5.31379218329119,0.301095389753678,1
"ENSMUSG00000025608.9","Podxl",1,5,0,23,2,20,0.51080416224438,4.51172404972725,0.301105370362646,1
"ENSMUSG00000025609.15","Mkln1",375,503,255,499.999,65.999,348,2.88739463342342,0.522090674852892,0.301295118202937,1
"ENSMUSG00000025612.5","Bach1",575,888,372,1066,129,502,2.88739463342342,0.522090674852892,0.301295118202937,1
"ENSMUSG00000025613.13","Cct8",209,432,183,455,49,284,2.88739463342342,0.522090674852892,0.301295118202937,1
"ENSMUSG00000025616.14","Usp16",113,201,92,268,10,125,2.88739463342342,0.522090674852892,0.301295118202937,1
"ENSMUSG00000025626.16","Phf6",52,43,17,61,0,24,2.88739463342342,0.522090674852892,0.301295118202937,1
"ENSMUSG00000025630.8","Hprt",162,259,142,348,27,136,2.88739463342342,0.522090674852892,0.301295118202937,1
"ENSMUSG00000025645.8","Ccdc51",23,14,17,13,0,27,-0.62904819565457,3.62349388732191,0.301324646877087,1
"ENSMUSG00000025646.9","Atrip",26.327,64.931,38.143,130.148,4.441,53.871,-2.72572652737271,0.475058594983279,0.301443393993677,1
"ENSMUSG00000025647.16","Shisa5",267,394.999,219,686.999,43,304,-2.72572652737271,0.475058594983279,0.301443393993677,1
"ENSMUSG00000025648.18","Pfkfb4",146,204,175,291,19,171,2.91276931457179,0.504839064495515,0.301573831154871,1
"ENSMUSG00000025650.13","Col7a1",0,6,8,9,0,9,2.91276931457179,0.504839064495515,0.301573831154871,1
"ENSMUSG00000025651.14","Uqcrc1",122,224,104,336,19,158,0.67959650707273,3.66037746005681,0.301718100035999,1
"ENSMUSG00000025656.17","Arhgef9",21,18,4,20,0,7,-1.01949420833674,3.98174823178651,0.301831244802448,1
"ENSMUSG00000025658.16","Cnksr2",10,0,0,4,0,1,-1.93351877046355,0.512623389956883,0.301841626861175,1
"ENSMUSG00000025665.16","Rps6ka6",0,0,0,4,0,2,2.9523164692059,0.540405321548184,0.30187109505954,1
"ENSMUSG00000025666.16","Tmem47",0,20,0,6,0,3,-0.94573880779636,2.95794643910329,0.301955210191417,1
"ENSMUSG00000025701.12","Alox5",171,209,119,313,29,180,0.507907814089488,4.62601534739192,0.30195969606245,1
"ENSMUSG00000025702.15","Marchf8",90,179,81,182,25,82,-0.311899360681833,6.47871011816642,0.302003805645947,1
"ENSMUSG00000025716.14","Myo3a",0,4,0,21,0,1,-0.500725819916709,4.3437341801852,0.302221697330276,1
"ENSMUSG00000025722.16","Wdr73",24,41,32,61,0,30,-0.410101650619761,5.06124783571755,0.302224296636109,1
"ENSMUSG00000025723.12","Nmb",0,6,6,9,0,6,0.960334446326288,3.04655902794295,0.302232613017563,1
"ENSMUSG00000025724.12","Sec11a",42,115,64,107,19,57,-0.337552185001223,6.13880646172061,0.302311268830326,1
"ENSMUSG00000025727.8","A930017K11Rik",11,0,0,3,0,2,-0.515610728315149,4.24505643174643,0.302315407743176,1
"ENSMUSG00000025728.16","Pigq",151,212.999,115,170,29.999,143.001,-2.73289384721121,0.543802463832642,0.302449016068119,1
"ENSMUSG00000025730.14","Rab40c",108,137,80,133,13,96,2.92704891813203,0.556559777411327,0.30248416334064,1
"ENSMUSG00000025731.16","Mettl26",16,15,20,11,0,7,2.92704891813203,0.556559777411327,0.30248416334064,1
"ENSMUSG00000025732.6","Mcrip2",9,25,17,4,0,11,0.329356836977651,6.44788227086067,0.302634889354219,1
"ENSMUSG00000025733.17","Rhot2",141.789,104.729,44,70.708,28,67.611,0.926879598271393,3.08477208754251,0.302702829630869,1
"ENSMUSG00000025735.13","Rhbdl1",0,18.482,8,5.78,0,3.922,-1.41977999357334,1.95592775233354,0.302746692513704,1
"ENSMUSG00000025736.15","Jmjd8",82,126,64,141,5,80.999,0.97171191734192,2.88057635558332,0.302789751672824,1
"ENSMUSG00000025737.5","Wdr24",47,71,23,117,2,49,0.494022417006448,4.57829481025757,0.302937527716433,1
"ENSMUSG00000025738.8","Fbxl16",0,10,6,25,0,4,-2.76050650350728,0.551270312015194,0.30312702477815,1
"ENSMUSG00000025742.5","Prps2",186,205,125,157,25,156,1.89693542528679,1.34126208561358,0.303236868987427,1
"ENSMUSG00000025743.14","Sdc3",296,407,273,1279,68,227,2.91499254602133,0.566165259634903,0.303371311702728,1
"ENSMUSG00000025745.12","Hadha",297.001,418,230,439,32,233,2.90183015558447,0.572077378025961,0.303371605147555,1
"ENSMUSG00000025746.11","Il6",11,15,11,16,8,22,2.90183015558447,0.572077378025961,0.303371605147555,1
"ENSMUSG00000025747.12","Tyms",12,12,2,62,0,17,2.90183015558447,0.572077378025961,0.303371605147555,1
"ENSMUSG00000025754.11","Agbl1",0,5,0,17,0,5,2.9896849849897,0.574462120529319,0.303396100470997,1
"ENSMUSG00000025757.13","Hspa4l",14,46,32,84,0,28,-2.45366641118989,0.56203978319402,0.303448397138401,1
"ENSMUSG00000025758.10","Plk4",30,6,13,35,0,13,-2.45366641118989,0.56203978319402,0.303448397138401,1
"ENSMUSG00000025759.11","Mfsd8",48,24,53,32,24,25,-0.343691789016221,6.4756772020089,0.303593692680545,1
"ENSMUSG00000025762.16","Larp1b",9,14,12,63,4,10,0.372447789940419,5.29883210204411,0.303597810170367,1
"ENSMUSG00000025764.14","Jade1",99,145,55,176,31,88,-1.56976297213669,1.66766036336188,0.30370958086394,1
"ENSMUSG00000025766.14","D3Ertd751e",17,40,39,39,5,14,0.466114901259049,4.61617827484001,0.303724642915282,1
"ENSMUSG00000025774.14","Crisp4",0,0,0,1,0,5,2.80173364735187,0.579264580159474,0.303758036235195,1
"ENSMUSG00000025776.13","Crispld1",0,0,0,13,0,3,-0.436058797587779,4.93409475641246,0.303831877014009,1
"ENSMUSG00000025777.8","Gdap1",5,2,0,20,0,3,0.493253234647568,4.69661360422662,0.303835536529515,1
"ENSMUSG00000025779.10","Ly96",38,17,27,36,7,20,-0.334083342351219,6.22883134131676,0.303899555093914,1
"ENSMUSG00000025780.7","Itih5",1,8,6,70,5,9,0.380919983632703,5.42089337803995,0.304079217595423,1
"ENSMUSG00000025781.14","Atp5c1",99,211,113,214,11,117,2.96454098744253,0.589619799943535,0.304123776060423,1
"ENSMUSG00000025782.12","Taf3",76,116,114,141,14,82,-1.6084681413492,1.65660188689855,0.304143032644828,1
"ENSMUSG00000025785.5","Exosc7",19,33,48,61,8,45.999,-0.312535599105901,8.56363790712576,0.304288287255258,1
"ENSMUSG00000025786.17","Zdhhc3",77,178,110,164.998,15,100,3.05022726719546,0.592334650146404,0.304337057696754,1
"ENSMUSG00000025787.6","Tgm4",17,16,9,2,2,8,3.05022726719546,0.592334650146404,0.304337057696754,1
"ENSMUSG00000025789.9","St8sia2",1,4,0,6,0,10,-0.7736568773598,3.10917581749112,0.304408248534978,1
"ENSMUSG00000025790.14","Slco3a1",20,5,6,13,0,16,0.482592708960487,4.64210649752356,0.30448638140516,1
"ENSMUSG00000025791.18","Pgm1",77,71,54,82,22,58,-0.674568016692349,3.41317597934639,0.304500829196156,1
"ENSMUSG00000025792.9","Slc25a10",43,62,53,39,3,35,0.52797451755458,4.36763122314752,0.304518688059048,1
"ENSMUSG00000025793.17","Hgs",162,249,130,262,10,160,-2.10796211779136,0.58598944578364,0.304607213083401,1
"ENSMUSG00000025794.9","Rpl14",351,503,376,857.893,50,451.969,-1.35357321778016,2.06874385509372,0.304740164754832,1
"ENSMUSG00000025795.8","Rassf3",120,182,85,314,16,116,2.00612087535687,0.596499947170557,0.304747054639017,1
"ENSMUSG00000025804.5","Ccr1",30,38,30,91,14,20,1.88842714121463,1.03027521670565,0.30475762078929,1
"ENSMUSG00000025809.15","Itgb1",764,1155,560,1008,168,645,-0.68247434905123,3.73346426220353,0.304834580606241,1
"ENSMUSG00000025810.9","Nrp1",353,537,155,371,38,304.001,0.306567950987674,6.82139427385185,0.304844298833955,1
"ENSMUSG00000025812.18","Pard3",11,8,3,13,0,3,-0.337658531162264,6.37628612796201,0.304868740729074,1
"ENSMUSG00000025813.14","Homer2",11,11,18,39,1,13,-0.527703724896111,4.13690386891361,0.304886242829791,1
"ENSMUSG00000025815.13","Dhtkd1",7,20,10,31.001,2,9,-1.47587860783981,1.80075222081743,0.304900067218764,1
"ENSMUSG00000025816.15","Sec61a2",80,44,25.001,39,13,51.001,1.6295550249203,1.87104033651842,0.304900699256736,1
"ENSMUSG00000025817.12","Nudt5",82,92,93,87,13,43,2.22228752395266,0.599721804929411,0.304918951979357,1
"ENSMUSG00000025821.9","Zfp282",134,111,83,88,5,89,2.22228752395266,0.599721804929411,0.304918951979357,1
"ENSMUSG00000025823.9","Pdia4",303,519,237,520,32,379,2.22228752395266,0.599721804929411,0.304918951979357,1
"ENSMUSG00000025825.12","Iscu",149,163,86,184,10,161,-1.77799109987254,1.47682941502676,0.304927369513038,1
"ENSMUSG00000025838.12","Pramel6",0,0,0,9,0,2,3.02521199883298,0.607135830549248,0.30493247953895,1
"ENSMUSG00000025854.15","Fam20c",34,19,32,51,6,30,3.02521199883298,0.607135830549248,0.30493247953895,1
"ENSMUSG00000025855.13","Prkar1b",26,26,21,41,4,27,3.02521199883298,0.607135830549248,0.30493247953895,1
"ENSMUSG00000025856.15","Pdgfa",49,62.999,23,81,5,72,3.02521199883298,0.607135830549248,0.30493247953895,1
"ENSMUSG00000025857.10","Dnaaf5",40,73,24,87,7,27,3.02521199883298,0.607135830549248,0.30493247953895,1
"ENSMUSG00000025858.12","Get4",86,94,43,154,12,90,3.02521199883298,0.607135830549248,0.30493247953895,1
"ENSMUSG00000025860.15","Xiap",314,513,293,588,63,253,3.05316111917374,0.608053427853923,0.304996504498321,1
"ENSMUSG00000025862.14","Stag2",345,713,278,853.001,81,348.001,-2.02194675861141,0.595537022104351,0.305037074377199,1
"ENSMUSG00000025867.8","Cplx2",4,10,0,20,0,7,0.411311890522738,5.42263276470506,0.305115026101717,1
"ENSMUSG00000025868.6","Higd2a",124,104,36,82,24,79,-0.608870427670906,4.02476377394369,0.305124900195792,1
"ENSMUSG00000025869.11","Nop16",45,54,71,29,3,30,1.83648102873211,1.16023108403001,0.30514405687984,1
"ENSMUSG00000025870.10","Arl10",74,131,35,135,2,73,1.09167390305409,2.89613099689075,0.305174732944551,1
"ENSMUSG00000025871.18","4833439L19Rik",159,220.946,164,231,18,162.999,2.93934900911523,0.604205578236707,0.305185296375258,1
"ENSMUSG00000025872.5","Thoc3",38,20,24,71,5,17,2.93934900911523,0.604205578236707,0.305185296375258,1
"ENSMUSG00000025873.16","Faf2",168,192,121,198.001,24,152,2.93934900911523,0.604205578236707,0.305185296375258,1
"ENSMUSG00000025875.14","Tspan17",3,2,9,10,0,10,-2.85838951713515,0.602904365035699,0.30521895555191,1
"ENSMUSG00000025876.15","Unc5a",21,12,0,23,4,7,-0.329461023482613,6.47956797021675,0.305264254892767,1
"ENSMUSG00000025877.14","Hk3",311,559.999,279,677,51,355,1.67106296345404,1.50382440352294,0.305267052811247,1
"ENSMUSG00000025878.16","Uimc1",140,164.999,117,171,51,98,2.81053509088391,0.610025751269166,0.305269639812267,1
"ENSMUSG00000025880.11","Smad7",651,1231.999,637,1246,135,1009,-2.52563729720094,0.606113839118152,0.305326310671161,1
"ENSMUSG00000025885.18","Myo5b",0,12,9,17,0,15,2.19674425838288,0.614370475382795,0.305431498341305,1
"ENSMUSG00000025887.10","Casp12",5,6,9,10,4,9,2.19674425838288,0.614370475382795,0.305431498341305,1
"ENSMUSG00000025888.6","Casp1",61,135,109,175,19,74,-1.81616009559975,0.613332301923095,0.305461217202362,1
"ENSMUSG00000025889.13","Snca",0,3,0,9,0,1,-2.04971297052446,0.602832818177291,0.305684604749756,1
"ENSMUSG00000025892.16","Gria4",0,2,0,9,0,6,0.830004785267666,3.28431958588057,0.305688161549928,1
"ENSMUSG00000025893.8","Kbtbd3",0,16,0,14,3,10,-2.551534624734,0.613397628928965,0.305718594405966,1
"ENSMUSG00000025894.11","Aasdhppt",34,36,25,35,0,31,1.246074947709,2.58665063722766,0.305744190401541,1
"ENSMUSG00000025898.6","Cwf19l2",121,137,125,156,8,144,3.00019375023889,0.621384418288861,0.305755353182758,1
"ENSMUSG00000025899.14","Alkbh8",48,79,13,85,15,50,3.00019375023889,0.621384418288861,0.305755353182758,1
"ENSMUSG00000025900.13","Rp1",0,5,0,11,0,6,-0.320920603605355,5.36891132550151,0.305805972172247,1
"ENSMUSG00000025902.13","Sox17",6,0,0,8,0,9,-0.357743650567622,5.77728456703215,0.305836582004907,1
"ENSMUSG00000025903.14","Lypla1",57,123,113.999,146,20,92,-0.538189520966614,3.99815082248065,0.305958436424652,1
"ENSMUSG00000025905.14","Oprk1",4,3,17,14,0,6,-0.653787870709866,3.47772481620174,0.306053540809693,1
"ENSMUSG00000025907.14","Rb1cc1",173.001,290,116.999,199,37,109.999,1.23192854022875,2.5835391658868,0.306067943209481,1
"ENSMUSG00000025909.16","Sntg1",0,8,0,22,0,9,2.18350752857429,0.638991623159196,0.306138302846894,1
"ENSMUSG00000025911.14","Adhfe1",0,7,11,16,0,12,0.947403995526237,2.9614830723491,0.306252179773349,1
"ENSMUSG00000025912.16","Mybl1",0,8,8,7,0,0,2.25958359473563,0.631837693870807,0.306284127080967,1
"ENSMUSG00000025915.14","Sgk3",159,236.999,188,211.999,26.999,126,2.25958359473563,0.631837693870807,0.306284127080967,1
"ENSMUSG00000025917.9","Cops5",112.001,79,39,116.001,15,72,2.25958359473563,0.631837693870807,0.306284127080967,1
"ENSMUSG00000025920.19","Stau2",43,51,43,70.001,12,40,2.25958359473563,0.631837693870807,0.306284127080967,1
"ENSMUSG00000025921.7","Rdh10",57,64,11,75,5,49,3.0150300913089,0.632089501109715,0.306303389814751,1
"ENSMUSG00000025925.14","Terf1",63.999,36,37,50,1,35.001,2.30544308678292,0.626283661007555,0.30636406803184,1
"ENSMUSG00000025927.13","Tfap2b",6,1,0,13,0,8,0.833472932188743,3.49323784754187,0.30639072428022,1
"ENSMUSG00000025931.15","Paqr8",11,4,5,4,0,7,-0.423225143469221,4.99846241471752,0.306412474303448,1
"ENSMUSG00000025932.14","Eya1",0,5,0,9,0,2,0.50745049956826,4.36750762356642,0.306439607430135,1
"ENSMUSG00000025933.15","Tmem14a",6,4,0,0,0,5,3.05909446603288,0.638537504329055,0.306451644579672,1
"ENSMUSG00000025934.15","Gsta3",0,4,0,7,2,2,2.05055690032124,0.90814876909381,0.30648185997059,1
"ENSMUSG00000025935.10","Tram1",432,567,291,634,58,376,-0.329057667387158,7.14281568893903,0.306505528877768,1
"ENSMUSG00000025937.6","Lactb2",162,153,128,169,28,135,0.570335614620566,4.21543367318291,0.306593606431601,1
"ENSMUSG00000025938.16","Slco5a1",0,9,9,39,0,20,0.572004187679083,4.29454766270741,0.306673298176497,1
"ENSMUSG00000025939.19","Ube2w",61,99,48,99,17,41,-0.30486301600127,8.97437582528624,0.306748768968191,1
"ENSMUSG00000025940.6","Tmem70",47,69,46,78,15,49,1.57756421205221,1.75202795702719,0.306847114275747,1
"ENSMUSG00000025949.16","Pikfyve",190,285.001,216,276,47,158,-0.315908392408243,6.60576700599976,0.306881208981807,1
"ENSMUSG00000025950.16","Idh1",97,94,65,105,28,78,2.23421214940445,0.645609768293736,0.30691687869588,1
"ENSMUSG00000025955.13","Akr1cl",0,1,0,4,0,1,2.23421214940445,0.645609768293736,0.30691687869588,1
"ENSMUSG00000025956.10","Mettl21a",57,60.001,23,61,20,43,-0.51052312492984,4.61798707415255,0.307036345916184,1
"ENSMUSG00000025958.14","Creb1",303,405.999,232,476,68.999,278,-2.26346570850084,0.642370169813093,0.307120978476222,1
"ENSMUSG00000025959.13","Klf7",324,350,227,366,55,237,2.3203090488975,0.64927244543777,0.307165738012154,1
"ENSMUSG00000025961.1","4933402D24Rik",5,5,0,3,0,0,2.3203090488975,0.64927244543777,0.307165738012154,1
"ENSMUSG00000025962.15","Fastkd2",81,56,50,67,13,43,0.546372327984838,4.50571918775617,0.307185745832521,1
"ENSMUSG00000025964.15","Adam23",45,11,7,93,2,9,-0.315890922901618,6.81888109095685,0.307214505136728,1
"ENSMUSG00000025967.16","Eef1b2",144,542.952,331,704.001,75.999,356,-0.426122172293886,4.86579636484828,0.307228623471948,1
"ENSMUSG00000025968.16","Ndufs1",137,196,106,165,3,116.001,-0.325159200650782,6.20711775488097,0.307250022678702,1
"ENSMUSG00000025969.15","Nrp2",150,264,181,312.001,35,167.999,-1.45887040593991,1.63688181944902,0.307271949043321,1
"ENSMUSG00000025971.6","Maip1",44,50,29,55,9,18,0.32757255808588,6.40238811573624,0.307312535068572,1
