"","geneid_symbol","PVN_14A1","PVN_14A2","PVN_14A3","PVN_14L1","PVN_14L2_b1","PVN_14L3_b1","PVN_14L4","PVN_14L5","PVN_14L6","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","PVN_naive1","PVN_naive2","PVN_naive3"
"ENSMUSG00000022388.14","Ttll8",0,0,4.080614,0.598605,0,0,1.438151,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022389.15","Tef",68.708294,42.075,41.43999,73.675063,16.560762,46.105862,52.486381,91.717821,10.947196,49.414384,53.945978,72.789977,80.023087,88.969958,52.640104,55.593038,66.858393,38.671012
"ENSMUSG00000022390.11","Zc3h7b",20.592421,20.994493,21.527709,27.778978,18.197153,27.852351,17.866101,42.749599,9.142029,15.223014,28.802259,20.048008,27.638663,25.366712,29.312396,38.655066,28.537685,19.716764
"ENSMUSG00000022391.16","Rangap1",35.537421,13.425011,41.069532,18.845519,41.196386,17.745674,37.727749,18.867365,28.660611,25.731023,26.847951,16.575717,29.345646,26.693134,32.644158,17.954535,31.075053,23.922936
"ENSMUSG00000022394.14","L3mbtl2",7.294209,3.139283,13.212018,18.741114,144.034185,29.484549,22.730079,13.569328,9.354699,14.279866,16.348775,10.354718,17.430214,13.986626,15.343677,24.41035,9.079877,3.859292
"ENSMUSG00000022400.9","Rbx1",73.411943,33.812635,56.04854,48.630124,38.543555,44.750115,33.287854,155.220698,64.87751,54.590969,60.000782,79.604008,84.601137,42.767885,38.351841,32.487435,50.145808,74.774187
"ENSMUSG00000022401.12","Xpnpep3",9.979202,27.61681,10.038051,6.784408,39.693581,14.933884,8.343337,24.031734,3.552052,4.887931,10.946852,6.136913,6.003534,13.258615,19.03323,1.924298,5.70861,6.827925
"ENSMUSG00000022403.15","St13",151.636389,83.132125,136.671261,91.137078,121.534288,103.587416,50.229047,71.235802,69.55408,102.823272,80.642723,127.660857,105.861754,114.042563,68.530869,69.259475,127.984981,71.818563
"ENSMUSG00000022404.8","Slc25a17",40.095507,20.074793,41.126436,25.66957,18.546917,61.754147,37.597864,29.689029,26.358673,32.977272,38.085373,51.424477,37.46365,51.224713,35.248621,44.737473,40.97913,37.048847
"ENSMUSG00000022407.10","Adsl",19.499445,56.667957,23.648555,20.479423,17.939471,85.493906,28.240667,75.128144,24.731638,36.67383,33.47516,28.996766,25.386648,40.24299,27.751713,28.918998,24.789545,3.372857
"ENSMUSG00000022408.7","Fam83f",0.268904,0,1.241117,2.52026,7.080338,0,2.430301,0.904692,0.159732,2.700009,2.077268,0.04402,0,0,0.836054,4.138495,0.712446,2.118404
"ENSMUSG00000022412.14","Mief1",12.508521,13.964944,11.557131,15.372785,12.362138,22.568582,10.762809,14.147762,18.640776,12.996839,18.304416,12.842718,29.142925,16.723602,19.460924,21.017504,12.029214,16.861489
"ENSMUSG00000022414.8","Tab1",24.776598,21.009295,22.560155,29.310876,1.555279,46.236764,39.921744,35.777619,11.956922,15.460829,28.664527,15.12266,44.74084,17.725385,65.782156,27.445207,19.050131,41.032715
"ENSMUSG00000022415.12","Syngr1",130.130274,95.27039,150.197861,185.633906,167.45119,225.910138,144.226893,150.506908,91.097097,244.714584,184.454237,205.273064,203.184575,203.609915,141.478466,257.531948,136.877307,163.675232
"ENSMUSG00000022416.15","Cacna1i",0.392521,0,0.436802,0.631072,0,0,0.712994,0,0.066436,0,0.798383,0,0,0,0.049036,0,0.052156,1.26176
"ENSMUSG00000022419.16","Deptor",3.739237,4.050738,6.515498,4.285293,5.269427,7.133595,3.954071,0.815605,1.495996,6.197444,4.141685,4.432239,5.008659,4.419136,6.059995,5.176458,5.44639,3.301438
"ENSMUSG00000022420.16","Dnal4",12.368885,0,32.444495,15.866439,45.713988,19.251169,20.239135,17.745188,20.766763,11.482756,27.452095,25.290225,17.893757,14.08021,16.721095,14.851611,20.77157,37.183936
"ENSMUSG00000022421.19","Nptxr",5.936881,0,2.491027,3.586709,1.063924,0.101703,2.869826,2.667809,2.932105,0.211637,5.022275,6.188079,2.357852,3.462891,5.262456,7.137155,5.44549,2.674268
"ENSMUSG00000022422.13","Dscc1",1.153783,0,1.284695,1.632367,0,3.132499,0,3.047901,3.726226,2.120972,1.730704,0,1.385602,2.372611,0,7.165204,1.140567,1.372163
"ENSMUSG00000022425.16","Enpp2",0.946576,0,2.155946,0.897236,0.348731,0.391502,1.262641,0,1.755615,0.868247,1.796708,0.12736,0.701994,0.854615,660.489826,0,309.149559,0
"ENSMUSG00000022426.6","Josd1",17.970038,4.61924,10.925711,20.647807,1.32769,16.608225,10.488014,20.294406,14.181521,16.134005,27.81356,11.784453,14.23222,18.747127,22.800855,19.831319,16.59668,14.877389
"ENSMUSG00000022427.4","Tomm22",26.276969,27.111644,61.527844,59.592287,49.541198,26.725607,18.749815,25.672659,48.624592,34.206752,50.271679,23.697478,24.501526,48.468133,44.046443,59.467198,32.50087,36.786307
