"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","logFC","logCPM","PValue","FDR"
"ENSMUSG00000020027.18","Socs2",0,16,10,20,25,4,-0.357047771430445,6.48755510255334,0.188872820931713,1
"ENSMUSG00000020029.6","Nudt4",135,308,173,634,468,1364,3.09779773884413,1.00017762151496,0.188950846859578,1
"ENSMUSG00000020032.14","Nuak1",1424,2154,1064,1866,3073,9226,-3.82923578954864,0.345082321482167,0.189122320197498,1
"ENSMUSG00000020034.7","Tcp11l2",145,186,88,170,275,590,0.349647667998482,8.17738195065068,0.189276361889965,1
"ENSMUSG00000020038.10","Cry1",18,35,29,54,155,161,-1.25681643487088,2.58648983655273,0.189295993360471,1
"ENSMUSG00000020042.15","Btbd11",0,3,0,0,26,3,0.725113569728965,3.74374259148976,0.189350912708863,1
"ENSMUSG00000020044.13","Timp3",0,26,0,0,14,21,0.403264004744975,7.02515044113145,0.189510128921941,1
"ENSMUSG00000020048.13","Hsp90b1",1568,3674,2135.001,3286,3907.001,12515.635,0.611010733934538,4.221722566697,0.189720667313951,1
"ENSMUSG00000020051.17","Pah",4,0,3,0,1,10,-1.20879259192125,2.76949313751056,0.18980701594518,1
"ENSMUSG00000020052.9","Ascl1",7,2,0,0,2,0,-0.417778343555038,5.44886571708695,0.189860047373376,1
"ENSMUSG00000020053.18","Igf1",2,5,9,15,35,22,-2.15282486336296,2.0297662531042,0.189959356590733,1
"ENSMUSG00000020056.16","Washc3",15,41,43,48,64,109,0.423280279506185,6.1326646447641,0.190037299548061,1
"ENSMUSG00000020057.2","Dram1",1,2,11,30,55,49,-0.414864513600118,9.54100645242977,0.190269680043065,1
"ENSMUSG00000020059.9","Sycp3",0,3,11,4,1,8,0.446721492309159,5.15575609273594,0.190299911380647,1
"ENSMUSG00000020062.7","Slc5a8",0,1,0,13,3,3,5.492376001404,-0.157081908165226,0.190350764260975,1
"ENSMUSG00000020063.16","Sirt1",151,402,226,299,288.001,1403,5.492376001404,-0.157081908165226,0.190350764260975,1
"ENSMUSG00000020064.9","Herc4",194,302,135,211,437,982,-0.826944244888952,3.4191358891674,0.190376431662782,1
"ENSMUSG00000020067.8","Mypn",12,14,0,3,20,0,0.62252624067237,4.36127116807845,0.190588165265653,1
"ENSMUSG00000020069.16","Hnrnph3",58.001,137,76,155,187.999,516.001,1.78475959055291,2.46813011169256,0.190605644730735,1
"ENSMUSG00000020070.18","Rufy2",36,39,31,26,94.001,167,0.355503067095448,6.31007198906236,0.190606298610712,1
"ENSMUSG00000020072.15","Pbld2",6,1,0,0,7,0,-3.67003205536626,1.14565968396811,0.190673098043071,1
"ENSMUSG00000020074.7","Ccar1",286,321,266,317,511.999,1216.001,-3.49275981090726,0.0696938730434992,0.190832426525528,1
"ENSMUSG00000020075.8","Ddx21",225,646,286,421,699.999,2554.999,0.342764519896469,7.59901047145321,0.190834881571167,1
"ENSMUSG00000020076.7","Ddx50",147,352,171.001,252,433,895.001,-2.73666767037128,1.16081058235732,0.19085461280119,1
"ENSMUSG00000020077.14","Srgn",360,738,365,667,756.001,2773,-2.33060106007278,1.90126112278882,0.190892271897968,1
"ENSMUSG00000020078.16","Vps26a",176,285,178,255,440,1399,-0.65527291410408,5.12786607095566,0.190969091637137,1
"ENSMUSG00000020079.15","Supv3l1",54,67,33,43,86,325,3.6572591373311,0.314840715421003,0.190976851389693,1
"ENSMUSG00000020080.8","Hkdc1",0,2,5,0,5,0,0.385268376781983,5.99751188860669,0.191047708371538,1
"ENSMUSG00000020081.5","Tacr2",0,2,11,0,8,0,0.605692215924499,4.35883716746853,0.191094562077294,1
"ENSMUSG00000020083.13","Fam241b",14,0,2,0,14,21,0.466843466364941,5.4051851632045,0.191103086448532,1
"ENSMUSG00000020085.15","Aifm2",18,4,9,34,25,38,0.40521381263203,8.59547279015211,0.191210876038164,1
"ENSMUSG00000020086.6","Macroh2a2",0,2,0,0,7,19,-3.02905720480573,0.921596514192671,0.191398205001728,1
"ENSMUSG00000020087.5","Tysnd1",29,58,39,123,223,422,0.392596260777004,5.73794362537921,0.191404616244739,1
"ENSMUSG00000020088.10","Sar1a",236,444,190,349,594,1409,4.77789704824337,-0.464782980334776,0.191437587742248,1
"ENSMUSG00000020089.8","Ppa1",13,14,5,24,26,109,-2.71593607170611,1.51520804662697,0.191448646640387,1
"ENSMUSG00000020090.7","Npffr1",20,1,0,1,14,0,3.02846939185714,0.969599739803549,0.191534099354934,1
"ENSMUSG00000020091.15","Eif4ebp2",366,576,380,439,1051,2242,-0.395651932145038,7.14383633225968,0.191628931541927,1
"ENSMUSG00000020092.9","Pald1",1301,1430,545,807,2295,6413,5.17002778947086,-0.267064302498721,0.191629450407387,1
"ENSMUSG00000020097.14","Sgpl1",681,1095.001,577.999,600.001,1925,4325,-0.68465286927197,3.94975421579015,0.191797069012293,1
"ENSMUSG00000020098.7","Pcbd1",7,4,0,0,2,26,0.348699794431304,8.04205605923262,0.191867780441921,1
"ENSMUSG00000020099.8","Unc5b",0,7,0,5,4,0,0.516303987891658,5.05390829793725,0.191928269580513,1
"ENSMUSG00000020100.15","Slc29a3",1238,2072.979,928,1156,2623,9700,0.356239188447559,6.77695721344458,0.191950241412328,1
