avg,symbol
1.81430668656101e-17,Slc34a1
1.81357818410286e-17,Wdr74
1.81345789459964e-17,Ttc13
1.81275442426534e-17,Glyat
1.80508431090303e-17,Omd
1.80067107981554e-17,Fzd5
1.79962081308446e-17,Ces1f
1.79838679703351e-17,Slc46a3
1.79646622424543e-17,3110083C13Rik
1.79292302859738e-17,C920006O11Rik
1.78932976870165e-17,Slc6a18
1.78766059962221e-17,Mt1
1.78177412656512e-17,D630045J12Rik
1.77502059486171e-17,Mthfd2
1.76998602586787e-17,Fam134b
1.76591160795929e-17,Ggt1
1.76568861909394e-17,Atp6v1e1
1.76226605122104e-17,Clec3b
1.762261518377e-17,Dbp
1.75859843915207e-17,Slc16a10
1.75289165615152e-17,Wdfy3
1.75065960255761e-17,Slc36a1
1.74343411383822e-17,Tmem86a
1.73330976986931e-17,Ndufa9
1.73294281246469e-17,Gsta1
1.73292386923584e-17,Slc25a32
1.7309110158615e-17,Syne2
1.72919205315193e-17,Lgr4
1.72715159678697e-17,Sart3
1.72418671085403e-17,Ppp2r2a
1.72100790174383e-17,Lnp
1.71998672639991e-17,Sc5d
1.71980487140293e-17,Eci3
1.71626844119375e-17,Zc3h12a
1.71228819819432e-17,Atad2
1.71021229092966e-17,Cenpj
1.70662904388347e-17,Trim25
1.70455286600125e-17,Nmrk1
1.70357431292225e-17,Nol6
1.70129463063865e-17,Impa1
1.70004058888863e-17,Cdt1
1.69736553435712e-17,Tpm3-rs7
1.69368486499111e-17,Hrsp12
1.68803437044202e-17,Dad1
1.68614762484833e-17,Adck5
1.68491793867825e-17,Zfp317
1.68381909609604e-17,Sptlc3
1.68018213146517e-17,Coasy
1.67860497235444e-17,Ttc38
1.67701482360106e-17,Fbxo40
1.67519478523468e-17,Plpp1
1.67093945949056e-17,Bst2
1.6702104157973e-17,Pcnxl3
1.6660862042586e-17,Aif1l
1.66165944229336e-17,Bhmt2
1.65918870401591e-17,Aco1
1.65843909338846e-17,Eme2
1.65272202692083e-17,Pfn1
1.65237509521528e-17,Actn1
1.65029945856817e-17,Arglu1
1.64861567614075e-17,Ciao1
1.64594305716724e-17,Abhd11os
1.64448659348606e-17,Ctage5
1.64229459129029e-17,Hyal1
1.64141454300132e-17,Mpdz
1.63856981126281e-17,Ccnd1
1.63554322452731e-17,Lockd
1.63138329147134e-17,Adam10
1.63133891019232e-17,Tgm2
1.63024345032954e-17,Plaa
1.62789557242207e-17,Nos1ap
1.62336759949126e-17,Rpl39
1.62280958609278e-17,Cmtr2
1.61965256169576e-17,Dpp7
1.61408893538183e-17,Pdcd2l
1.61233073312678e-17,Comt
1.61179612814681e-17,Serpine2
1.61126666490039e-17,Irf2bp1
1.60869688059779e-17,Irf9
1.60631950537682e-17,Mcm4
1.60306045816155e-17,Bod1l
1.60251354008283e-17,Cwc27
1.60067469379638e-17,Xrcc4
