symbol,sct.detection_rate,sct.gmean,sct.variance,sct.residual_mean,sct.residual_variance
Rps19,0.914476682363664,4.134047049658,36.5867929795774,0.314385123437413,1.39851112973136
Rps23,0.913109524532888,4.0895118290943,33.8092626976728,0.311810116028147,1.40139989079428
Rplp1,0.921084611879083,4.03802587764573,27.2100133392656,0.268911476872203,1.22915831348698
Cox4i1,0.938933616891995,4.03667057707147,21.5892153707151,0.204190040174715,0.960151104166291
Chchd2,0.922755582561142,3.95683339197125,27.412636133802,0.23572040557953,1.1168329431721
mt-Nd3,0.901944402248215,3.89744447159561,69.5296398571554,0.46375919879219,2.72322105420573
Rpl39,0.900197478353334,3.88942441476018,37.4008912862883,0.33333282930797,1.63777872709753
Rpl23,0.91417286951238,3.88833233153894,27.2690212547236,0.261350056011637,1.24513762063909
Rpl26,0.915919793407261,3.88238596364569,26.1466806138263,0.258441361440125,1.23309686171115
Miox,0.922983442199605,3.88232073113092,31.9262617536365,0.305594928901227,1.79394177299259
Rpl35a,0.901716542609752,3.68792892785549,26.6674525569357,0.244657639998989,1.2337312516122
Rpl13a,0.90657754823029,3.55174359064857,23.6965340007594,0.218823551871733,1.21016504414261
Rpl13,0.890703326750722,3.46331752039041,25.3514154153802,0.229813610929073,1.24725409250881
Rps17,0.905362296825156,3.44906357987367,20.0834730943598,0.193655419481143,1.12892987500594
Dbi,0.898526507671275,3.44798610736088,35.6049756998749,0.304339228218858,1.96967599084779
Rps2,0.866398298648033,3.38827756682566,36.9017720262442,0.30772084763814,1.79119911173549
Rps27a,0.886298040407109,3.24516585682641,21.2039761579023,0.199315322057115,1.22451834874639
Rps14,0.87877867233784,3.22052815170597,22.1887972963098,0.20527272961869,1.26726834435318
mt-Nd4l,0.854093878171047,3.19728193799106,89.6853414626269,0.534650080304355,4.59386354985798
Rps28,0.879158438401944,3.1713808520713,21.4828592954771,0.216587204489849,1.33036442501882
Uqcr11,0.911210694212365,3.15965700928701,12.6419224061056,0.111158021704138,0.872526727940751
Acsm2,0.883183958681452,3.12632159329651,20.3257912014162,0.196455529459274,1.30506125646398
Rpl6,0.874373385994228,3.10978124836811,22.9932391486578,0.227755794729165,1.4820361603757
Cox7a2,0.900197478353334,3.10878686312891,13.7450409936765,0.121699139585147,0.925340000277976
Rpl18a,0.873917666717302,3.10123367817368,20.4898850397799,0.192488718212088,1.2342188485815
Rpl28,0.893817408476379,3.07907322127591,15.0229348529133,0.140664766486824,1.03990692330948
Fau,0.878171046635273,3.01473223533709,17.5804781665806,0.154366936463337,1.11223463209083
Atp5l,0.887741151450706,3.01175013516359,16.2858267612523,0.145491019270512,1.07959217072208
Rpl10,0.855992708491569,2.98772890853168,23.2447940144829,0.231556573563312,1.51715170956271
Rps8,0.878626765912198,2.93494921495722,16.255407444706,0.139987405614047,1.08382743413934
Chchd10,0.897159349840498,2.90744315922061,12.5942001572841,0.119372959738829,1.05202124267467
Ndufa4,0.881361081573751,2.89115161585257,16.6930286431596,0.156371666320398,1.23745703169188
Rpl17,0.861385386601853,2.85675025905744,18.4369990513488,0.166052959873602,1.24306043552635
Prdx5,0.889488075345587,2.85514331833808,17.3388471577315,0.160491456653277,1.31610707823414
Rpl24,0.873082181376272,2.84296033982125,15.4035897628803,0.125146119012446,1.04554442904512
Serf2,0.882272520127601,2.8315468486314,13.1252858139879,0.0948029590904588,0.932168116968477
Ndrg1,0.834042229986328,2.81955365690374,24.3993449734923,0.208733338912271,1.52544546660454
Rps24,0.863132310496734,2.79637150095567,16.2513494373373,0.154165713761406,1.20690795057504
Atp5g1,0.880905362296825,2.79254290996224,13.9105658794163,0.118246325527112,1.07073032274166
Atp5k,0.874297432781407,2.76954459797794,14.7360204578076,0.138962906074092,1.17517296163318
Rpl27a,0.871866929971138,2.74949432631548,13.1676442948065,0.0969727153310295,0.93538680723399
Ndufa2,0.879386298040407,2.74251401376518,10.7972150815557,0.0713643461463825,0.832488466215171
Atpif1,0.879006531976303,2.74177408133136,12.3505555142409,0.0940377401810045,0.956684916344381
Rplp2,0.868373082181376,2.73166486572067,14.2694689142524,0.115962336591121,1.04110928527441
mt-Nd5,0.853486252468479,2.70944357613212,30.3665492300574,0.231401630296737,1.89044070665593
Uqcrq,0.878930578763482,2.68866470593183,11.0956022484007,0.084778749036766,0.956296015601916
Rps18,0.826143095852955,2.64793939619005,21.5470358140866,0.179009814908159,1.41902487250953
Rps16,0.854169831383867,2.64228702683607,14.024079706969,0.114303729267578,1.06818058862442
Rpl36,0.865638766519824,2.63521224400365,12.2433065834562,0.0843736825981402,0.944332714736251
Rpl14,0.848397387209479,2.5806213673993,14.8754694661457,0.131115218147852,1.22703455797124
Rps21,0.850675983594106,2.57900510684868,14.295659105135,0.131184732932379,1.18544700142318
