,排名,公司,价值.亿元.,主业,董事长,总部
92,90,华彬集团,700,饮料,严彬,北京
93,90,用友网络科技,700,应用软件开发,王文京,北京
94,94,三安集团,680,LED,林秀成,福建厦门
95,95,达利食品,655,食品,许世辉,福建泉州
96,96,58同城,650,生活服务,姚劲波,北京
97,96,韵达控股,650,物流,聂腾云,上海
98,98,南山集团,640,铝业、纺织、房地产,宋作文,山东烟台
99,99,歌尔股份,630,声学及多媒体产品,姜滨,山东潍坊
100,100,碧桂园服务控股,620,物业管理,杨惠妍,广东佛山
101,100,卓越集团,620,房地产,李华,广东深圳
102,102,通威集团,610,农业、新能源,刘汉元,四川成都
103,103,贝壳找房,600,房地产科技,左晖,天津
104,103,车好多,600,汽车交易,杨浩涌,北京
105,103,娃哈哈,600,饮料,宗庆后,浙江杭州
106,103,正泰集团,600,工业电器、投资,南存辉,浙江温州
107,107,唯品会信息科技,595,电子商务,沈亚,广东广州
108,108,红星美凯龙控股集团,580,家具连锁,车建兴,上海
109,108,美年大健康产业集团,580,医疗服务,俞熔,上海
110,108,世纪华通,580,汽车零部件制造,王苗通,浙江绍兴
111,108,中国飞鹤,580,婴幼儿配方奶粉,冷友斌,北京
112,112,乐普医疗器械,575,医疗器械,蒲忠杰,北京
113,113,汽车之家,570,汽车消费与服务,陆敏,北京
114,113,瑞声科技,570,声学科技,潘政民,广东深圳
115,113,中升集团,570,汽车销售,黄毅,北京
116,116,龙光地产控股,565,房地产,纪海鹏,广东深圳
117,117,世纪金源,560,房地产、投资,黄如论,北京
118,117,视源电子科技,560,消费电子、商业电子,王毅然,广东广州
119,117,苏宁金服,560,金融科技,张近东,上海
120,120,福耀玻璃,550,玻璃,曹德旺,福建福州
121,120,海尔电器集团,550,家用电器,周云杰,山东青岛
122,120,恒安集团,550,个人护理用品,施文博,福建泉州
123,120,沙钢集团,550,钢铁,沈文荣,江苏苏州
124,120,阳光龙净集团,550,房地产、投资,林腾蛟,福建福州
125,125,金地集团,540,房地产,凌克,广东深圳
126,125,陌陌,540,社交软件,唐岩,北京
127,127,蓝思科技,530,电子器件制造,周群飞,湖南长沙
128,127,兆易创新,530,闪存芯片,朱一明,北京
129,129,TCL集团,520,半导体、金融服务,李东生,广东惠州
130,129,李宁,520,体育用品,李宁,北京
131,131,大华技术,510,软件、电子通讯产品,傅利泉,浙江杭州
132,132,方大集团,500,炭素、钢铁、煤焦,方威,北京
133,132,富华国际,500,房地产、紫檀博物馆,陈丽华,北京
134,132,瑞幸咖啡,500,饮品连锁,钱治亚,福建厦门
135,135,东旭集团,490,电子科技,李兆廷,北京
136,135,康泰生物制品,490,生物医药,杜伟民,广东深圳
137,135,美菜网,490,生活服务,刘传军,北京
138,135,商汤科技,490,人工智能,汤晓鸥,北京
139,135,滔搏运动,490,服饰,盛百椒,上海
140,135,同花顺,490,金融数据服务,易峥,浙江杭州
141,141,海大集团,485,饲料,薛华,广东广州
142,142,恒逸集团,480,化纤,邱建林,浙江杭州
143,143,大族激光科技产业集团,470,系统解决方案,高云峰,广东深圳
144,143,华兰生物,470,生物医药,安康,河南新乡
145,143,泰格医药,470,医药,叶小平,浙江杭州
146,143,颐海国际,470,食品配料,施永宏,北京
147,147,深信服科技,465,解决方案,何朝曦,广东深圳
148,147,沃森生物,465,生物制药,李云春,云南昆明
149,149,三七互娱,460,网络游戏,吴绪顺,安徽芜湖
150,149,新和成,460,医药,胡柏藩,浙江绍兴
151,151,神州优车,455,共享出行,陆正耀,北京
152,152,海亮集团,450,铜加工、投资,冯海良,浙江绍兴
153,152,三花控股,450,工业设备、汽车零部件、房地产,张道才,浙江绍兴
154,152,完美世界,450,网游、影视娱乐,池宇峰,北京
155,152,信发集团,450,铝电,张刚,山东聊城
156,156,汇川技术,440,电力电子,朱兴明,广东深圳
157,156,新城控股,440,房地产,王晓松,上海
158,158,阳光保险集团,435,保险金融,张维功,广东深圳
159,159,安图生物,430,基因检测,苗拥军,河南郑州
160,159,龙盛控股,430,化工、钢铁,阮伟祥,浙江绍兴
161,159,亿纬锂能,430,锂电池,刘金成,广东惠州
162,162,晨光文具,420,文具用品制造,陈湖文,上海
163,162,海澜集团,420,服装、投资,周建平,江苏无锡
164,162,满帮集团,420,物流,王刚,贵州贵阳
165,162,欧派家居集团,420,橱柜,姚良松,广东广州
166,166,亿联网络,415,通信,陈智松,福建厦门
167,167,盛虹集团,410,印染、化纤、房地产,缪汉根,江苏苏州
168,167,卓胜微电子,410,集成电路,许志翰,江苏无锡
169,169,旭辉集团,405,房地产,林中,上海
170,170,杭州宋城集团,400,旅游、房地产,黄巧灵,浙江杭州
171,170,协鑫集团,400,太阳能芯片、发电厂,朱共山,江苏苏州
172,170,新湖集团,400,房地产、金融,黄伟,浙江杭州
173,170,雪松控股集团,400,大宗商品供应链、化工新材料,张劲,广东广州
174,174,雅居乐集团,390,房地产,陈卓林,广东广州
175,175,恒立液压,385,高压油缸,汪立平,江苏常州
176,175,华熙生物科技,385,生物医药,赵燕,北京
177,175,威高集团,385,医疗器械,陈学利,山东威海
178,175,微医,385,健康科技,廖杰远,浙江杭州
179,175,中长石基信息技术,385,应用软件开发,李仲初,北京
180,180,哔哩哔哩,380,视频弹幕网站,陈睿,上海
181,180,富力地产,380,房地产,李思廉,广东广州
182,180,信维通信,380,射频元件,彭浩,广东深圳
183,183,荣盛控股,375,房地产,耿建明,河北廊坊
184,184,51job,370,在线招聘,王韬,上海
185,184,春秋航空,370,航空运输,王煜,上海
186,184,广联达,370,应用软件开发,刁志中,北京
187,184,正荣集团,370,房地产,欧宗荣,上海
188,184,亨通集团,370,电缆,崔根良,江苏苏州
189,189,波司登,360,服装,高德康,江苏苏州
190,189,东方雨虹,360,防水材料,李卫国,北京
191,189,欢聚时代集团,360,语音软件、游戏,李学凌,广东深圳
192,189,居然之家,360,家居建材,汪林朋,北京
193,189,巨人网络,360,在线游戏,史玉柱,上海
194,189,康龙化成,360,生物医药,楼柏良,北京
195,189,上海莱士,360,生物制药,陈杰,上海
196,189,武汉当代科技,360,产业投资,艾路明,湖北武汉
197,189,正邦集团,360,饲料、养殖,林印孙,江西南昌
198,189,中炬高新技术实业集团,360,调味品、房地产,陈琳,广东中山
199,189,众安保险,360,互联网保险,欧亚平,上海
200,200,嘉晨控股集团,355,钢铁、耐火材料、煤化工,孙寿宽,辽宁营口
201,201,金科投资控股集团,350,房地产,黄红云,重庆
202,201,康弘药业,350,制药,柯尊洪,四川成都
203,201,蓝光投资控股集团,350,房地产,杨铿,四川成都
204,201,联影医疗,350,医疗器械,薛敏,上海
205,201,信义光能,350,能源,李贤义,安徽芜湖
206,201,优必选科技,350,机器人,周剑,广东深圳
207,201,圆通速递,350,物流,喻会蛟,上海
208,208,富德生命人寿保险,340,金融、房地产,张峻,广东深圳
209,208,华林证券,340,金融、投资,林立,广东深圳
210,208,济民可信,340,医药,李义海,江西南昌
211,208,玖龙纸业,340,环保造纸,张茵,广东东莞
212,208,联想控股,340,电脑与电子产品,柳传志,北京
213,208,美锦能源,340,煤炭,姚俊良,山西太原
214,208,欧菲光集团,340,电子元件,蔡荣军,广东深圳
215,208,天齐锂业,340,矿,蒋卫平,四川遂宁
216,216,赣锋锂业,335,新能源材料,李良彬,江西新余
217,216,科伦药业,335,制药、医药流通,刘革新,四川成都
218,216,雅戈尔,335,服装、房地产、投资,李如成,浙江宁波
219,216,长峰房地产,335,房地产,童锦泉,上海
220,220,恩捷新材料,330,包装盒生产,李晓明,云南玉溪
221,220,华友钴业,330,有色金属,陈雪华,浙江嘉兴
222,220,三环集团,330,电子元器件,张万镇,广东潮州
223,220,天茂集团,330,投资,刘益谦,上海
224,220,通策医疗,330,医疗器械,吕建明,浙江杭州
225,220,先导智能,330,新能源设备,王燕清,江苏无锡
226,220,祥祺集团,330,投资、房地产,陈红天,广东深圳
227,220,信义玻璃,330,玻璃,李贤义,广东深圳
228,228,柔宇科技,325,消费品,刘自鸿,广东深圳
229,229,赫基国际集团,320,服装,徐宇,广东广州
230,229,口子窖,320,白酒,徐进,安徽淮北
231,229,天士力医药集团,320,医药,闫凯境,天津
232,229,中国宏桥集团,320,铝业,张波,山东滨州
233,233,VIPKID,315,教育,米雯娟,北京
234,233,泰邦生物,315,生物医药,周凡,北京
235,233,中际旭创,315,电子设备制造,王伟修,山东烟台
236,233,自如,315,房地产科技,左晖,北京
237,237,步长集团,310,医药,赵涛,北京
238,237,传化集团,310,化工、农业、投资,徐冠巨,浙江杭州
239,237,传音控股,310,手机通讯,竺兆江,广东深圳
240,237,东山精密,310,精密铸件,袁富根,江苏苏州
241,237,俊发集团,310,房地产,李文斌,云南昆明
242,237,信达生物,310,医药,俞德超,江苏苏州
243,237,养元智汇饮品,310,饮料,姚奎章,河北衡水
244,237,宇通客车,310,汽车制造,汤玉祥,河南郑州
245,245,璞泰来新能源科技,305,锂电池材料,梁丰,上海
246,246,比特大陆,300,区块链,吴忌寒,北京
247,246,观澜湖集团,300,房地产,朱鼎健,广东深圳
248,246,杰瑞石油服务集团,300,机械设备,孙伟杰,山东烟台
249,246,纳思达,300,打印设备芯片,汪东颖,广东珠海
250,246,威马汽车,300,新能源汽车,沈晖,上海
251,246,星河控股集团,300,房地产、投资,黄楚龙,广东深圳
252,246,中南建设集团,300,房地产,陈锦石,江苏南通
253,252,光环新网科技,295,电信运营,耿殿根,北京
254,252,圣农集团,295,农业,傅光明,福建南平
255,254,跟谁学,290,教育,陈向东,北京
256,254,光线传媒,290,文化传媒,王长田,北京
257,254,健帆生物科技集团,290,生物医药和医疗器械,董凡,广东珠海
258,254,益丰大药房,290,医药零售,高毅,湖南长沙
259,258,东华软件,285,软件和信息系统,薛向东,北京
260,258,建龙重工集团,285,钢铁、矿业、船运,张志祥,北京
261,258,凯莱英医药集团,285,医药,洪浩,天津
